"gene"	"gene_cor"	"DIS3L2_p"	"gene_selected"	"genome_alignment"	"avg_pos"	"chromosome_name"
"TIPARP"	0.157920778585306	5.18892262831382	"DIS3L2"	"chr3"	156678012.25	3
"DAXX"	0.158490873465793	5.15345334485239	"DIS3L2"	"chr6"	33321216	6
"ZNF727"	0.157218115639424	5.14740122385474	"DIS3L2"	"chr7"	64074231.6	7
"HARS2"	-0.156977835655064	5.13324389091765	"DIS3L2"	"chr5"	140693383.75	5
"MON1B"	0.156890866980029	5.12812485264238	"DIS3L2"	"chr16"	77194697.5	16
"PAPOLG"	0.156829809203904	5.12453258965347	"DIS3L2"	"chr2"	60769800.25	2
"CNKSR3"	0.156636256394643	5.1131540837576	"DIS3L2"	"chr6"	154444018.5	6
"MRPL33"	-0.156608595753011	5.11152909175807	"DIS3L2"	"chr2"	27771787.25	2
"ING5"	0.157251286143279	5.08111770592426	"DIS3L2"	"chr2"	241706862.75	2
"RNFT1"	0.155949039193262	5.07286408250614	"DIS3L2"	"chr17"	59963470.5	17
"TMEM42"	0.15572850691547	5.05997108384452	"DIS3L2"	"chr3"	44861982.5	3
"LIG4"	0.15543836682668	5.04303545964892	"DIS3L2"	"chr13"	108210626.25	13
"WASHC3"	0.155198749097706	5.02907185716451	"DIS3L2"	"chr12"	102061456	12
"CSRP2"	0.155163863566092	5.02704065547711	"DIS3L2"	"chr12"	76864694.5	12
"TUBA4A"	0.155163524150651	5.0270208952607	"DIS3L2"	"chr2"	219251362	2
"CDH2"	0.155066621072475	5.02138106227691	"DIS3L2"	"chr18"	28036460.25	18
"CSH2"	0.154575984113397	4.99287782476483	"DIS3L2"	"chr17"	63873101.4444444	17
"SLAMF8"	-0.154328161174728	4.97851384220928	"DIS3L2"	"chr1"	159829257.5	1
"MRPL2"	-0.15428274192884	4.97588372281356	"DIS3L2"	"chr6"	43058709.25	6
"ANKAR"	0.154080008573728	4.96415302378615	"DIS3L2"	"chr2"	189686477	2
"KMO"	-0.153784219438608	4.9470645392516	"DIS3L2"	"chr1"	241555932	1
"MRPS6"	-0.153635858733971	4.93850528293342	"DIS3L2"	"chr21"	34099556	21
"RAP2C"	-0.15605351456003	4.91081450924189	"DIS3L2"	"chrX"	132217203.25	24
"NPVF"	0.152772243440318	4.8888393573193	"DIS3L2"	"chr7"	25226954.5	7
"SLC41A2"	0.152769042861579	4.88865579537604	"DIS3L2"	"chr12"	104913819	12
"SP110"	0.153430381901692	4.86160530600275	"DIS3L2"	"chr2"	230213936	2
"MRPL17"	-0.152243207911931	4.85854794260047	"DIS3L2"	"chr11"	6683192.25	11
"STAC2"	0.152115308115764	4.85123984419206	"DIS3L2"	"chr17"	39220131.3333333	17
"TBC1D9B"	0.152096195292253	4.85014825873115	"DIS3L2"	"chr5"	179887747.25	5
"C12orf66"	0.151828405396577	4.83486790632105	"DIS3L2"	"chr12"	64213643.25	12
"RAPGEF2"	0.151762007899307	4.83108320229738	"DIS3L2"	"chr4"	159322087.75	4
"TXNL1"	0.151304472188492	4.8050465631821	"DIS3L2"	"chr18"	56638397.6666667	18
"JAK1"	-0.150833367762717	4.77831661664088	"DIS3L2"	"chr1"	64861417.75	1
"WDR33"	0.15051639839252	4.76037711213112	"DIS3L2"	"chr2"	127769599.75	2
"TICAM1"	0.150062908878973	4.73477387276808	"DIS3L2"	"chr19"	4817647.75	19
"CDIP1"	0.15004938183516	4.73401129581138	"DIS3L2"	"chr16"	4513733.75	16
"SETD3"	0.151050223879465	4.72749263907462	"DIS3L2"	"chr14"	99462289.75	14
"ATF2"	0.150797863090384	4.71339104183209	"DIS3L2"	"chr2"	175131744	2
"NPRL2"	0.149503081779652	4.70326904424567	"DIS3L2"	"chr3"	50349792.25	3
"TRUB2"	-0.149468220357789	4.70131091058264	"DIS3L2"	"chr9"	128321982.5	9
"LRRC3"	-0.149347354854467	4.69452539075839	"DIS3L2"	"chr21"	44456786	21
"SLC11A2"	0.148953570066751	4.67245430583271	"DIS3L2"	"chr12"	51002446.25	12
"RFFL"	0.148935157779051	4.67142368643011	"DIS3L2"	"chr17"	35022844	17
"GSTM1"	0.148788850081268	4.66323850835634	"DIS3L2"	"chr1"	109688192.25	1
"GMPPA"	0.148765570710572	4.66193685394519	"DIS3L2"	"chr2"	219501309.666667	2
"FLG"	-0.148654766376275	4.65574395270569	"DIS3L2"	"chr1"	152312693.5	1
"RBMXL3"	0.150095242282937	4.63785932215408	"DIS3L2"	"chrX"	115189949.75	24
"ST8SIA4"	0.148248654854391	4.6330838946493	"DIS3L2"	"chr5"	100901122	5
"PGGT1B"	0.148139142272263	4.62698348721047	"DIS3L2"	"chr5"	115245973.5	5
"MRPL53"	-0.148018692302823	4.62027878152333	"DIS3L2"	"chr2"	74472462	2
"XPO1"	0.147634454658165	4.59892542934188	"DIS3L2"	"chr2"	61494760.5	2
"H1FOO"	-0.147539903137474	4.59367900770884	"DIS3L2"	"chr3"	129547491	3
"TMBIM1"	0.147439021648911	4.58808488687983	"DIS3L2"	"chr2"	218280433	2
"HIST1H3G"	0.147376393245227	4.5846138271007	"DIS3L2"	"chr6"	26271251.5	6
"KIAA0232"	-0.147264698524439	4.57842685011253	"DIS3L2"	"chr4"	6861456.5	4
"LCMT1"	0.14699918388585	4.56373745079291	"DIS3L2"	"chr16"	25126348.25	16
"PPME1"	0.14687596280168	4.55692891775391	"DIS3L2"	"chr11"	74213786.25	11
"CHRM3"	0.146619716408936	4.54278753828119	"DIS3L2"	"chr1"	239907579	1
"FSIP2"	0.146259405261731	4.52294294790465	"DIS3L2"	"chr2"	185775202.666667	2
"CEP350"	-0.145615318864939	4.48758483500712	"DIS3L2"	"chr1"	180010660.75	1
"RWDD4"	0.145607223727045	4.48714138421905	"DIS3L2"	"chr4"	183654353.25	4
"BAIAP2"	0.145522651950957	4.48250995256164	"DIS3L2"	"chr17"	81089329	17
"MTM1"	0.147185842715675	4.47898798643131	"DIS3L2"	"chrX"	150612382	24
"PCDH1"	0.145455336218563	4.47882534714034	"DIS3L2"	"chr5"	141869096	5
"PRPS1L1"	0.145451049593778	4.47859076858325	"DIS3L2"	"chr7"	18027537.5	7
"GJA8"	0.145190840319696	4.46436354157121	"DIS3L2"	"chr1"	147908266.75	1
"TRAPPC6B"	0.145160400280836	4.46270078026403	"DIS3L2"	"chr14"	39170045.25	14
"UTRN"	0.144657366782509	4.43527094337479	"DIS3L2"	"chr6"	144485998.25	6
"FCGRT"	-0.144609639184936	4.43267310728711	"DIS3L2"	"chr19"	49514107.25	19
"RTF1"	-0.144525307991612	4.42808490832131	"DIS3L2"	"chr15"	41426172.5	15
"SNX13"	0.144051278571476	4.4023416811536	"DIS3L2"	"chr7"	17869843.5	7
"RASSF3"	0.143826279166055	4.39015064993047	"DIS3L2"	"chr12"	64648602.25	12
"TMEM144"	0.143605071564703	4.37818267295453	"DIS3L2"	"chr4"	158217285.5	4
"DALRD3"	0.143507136161417	4.37288965502713	"DIS3L2"	"chr3"	49017501.75	3
"MRPS34"	-0.14322544214044	4.35768428025946	"DIS3L2"	"chr16"	1773034.75	16
"FGF14"	-0.142920891498736	4.34127696067332	"DIS3L2"	"chr13"	101916524	13
"OR51S1"	0.142870542633517	4.33856765623407	"DIS3L2"	"chr11"	4848920.75	11
"TMEM171"	0.142305236905567	4.30821017359086	"DIS3L2"	"chr5"	73123626.75	5
"CAMKK1"	-0.142197848805219	4.30245618537601	"DIS3L2"	"chr17"	3884881	17
"PPP2R2A"	0.142061727987705	4.29516856096786	"DIS3L2"	"chr8"	26321651	8
"ITGA5"	0.141761927284656	4.27914110813529	"DIS3L2"	"chr12"	54404945.5	12
"TP53"	-0.141690956505458	4.27535166530146	"DIS3L2"	"chr17"	7675377.5	17
"C1orf216"	0.141623722179817	4.27176338063627	"DIS3L2"	"chr1"	35716110.6666667	1
"GLRX"	0.141493289687752	4.26480680477314	"DIS3L2"	"chr5"	95822586	5
"ISG15"	0.141477963946847	4.26398980837352	"DIS3L2"	"chr1"	1014067	1
"UBE2Q2"	0.141475468634388	4.26385679424085	"DIS3L2"	"chr15"	75858637	15
"ATP5ME"	-0.141415178605304	4.26064367088207	"DIS3L2"	"chr4"	674004.5	4
"MAP2K7"	0.141406451657842	4.26017868017207	"DIS3L2"	"chr19"	7907156	19
"ARPP21"	0.141097713056529	4.24374583779436	"DIS3L2"	"chr3"	35681786.5	3
"VSIG1"	0.142701404755614	4.23990222708501	"DIS3L2"	"chrX"	108069927.25	24
"QSOX1"	0.140977927236932	4.237379269776	"DIS3L2"	"chr1"	180168231	1
"TDRD7"	-0.142027994210046	4.23731691358516	"DIS3L2"	"chr9"	97456960.75	9
"FBXW12"	0.140696328034816	4.22243246459095	"DIS3L2"	"chr3"	48376873.75	3
"ZFAND4"	-0.140472559004443	4.21057526927135	"DIS3L2"	"chr10"	45633206	10
"BHLHE41"	0.140459567513477	4.20988741518477	"DIS3L2"	"chr12"	26122937	12
"ADCY3"	0.140136437671625	4.19279809695113	"DIS3L2"	"chr2"	24887170.25	2
"RENBP"	0.14177817876329	4.19154968090778	"DIS3L2"	"chrX"	153944100.5	24
"CMPK2"	0.140011841058793	4.1862184749456	"DIS3L2"	"chr2"	6865362.5	2
"UBXN7"	0.139905686295662	4.18061706483947	"DIS3L2"	"chr3"	196396815.5	3
"LSM14A"	0.139747311378234	4.17226761411846	"DIS3L2"	"chr19"	34195338.5	19
"PAIP2"	0.139703161085479	4.16994161745709	"DIS3L2"	"chr5"	139364001.5	5
"RAB7A"	0.139565716855264	4.16270498576916	"DIS3L2"	"chr3"	128800325	3
"SIRPA"	-0.139346069996033	4.15115417662387	"DIS3L2"	"chr20"	1920062.25	20
"PHPT1"	-0.139341094159143	4.15089270499076	"DIS3L2"	"chr9"	136849660	9
"COQ4"	-0.139314534322775	4.14949717993156	"DIS3L2"	"chr9"	128324306.75	9
"DPP3"	0.13897983569216	4.13193264405511	"DIS3L2"	"chr11"	66489600.25	11
"SUGT1"	0.138935153813675	4.12959080247736	"DIS3L2"	"chr13"	52653014	13
"ZBTB7C"	-0.138932335388856	4.12944310849188	"DIS3L2"	"chr18"	48040928.75	18
"GDF9"	0.138906192816323	4.12807329273875	"DIS3L2"	"chr5"	132863328.25	5
"OSBPL6"	0.138788744595409	4.1219222405905	"DIS3L2"	"chr2"	178331537	2
"HIST1H4A"	0.138568955635996	4.11042447963988	"DIS3L2"	"chr6"	26021730.25	6
"MPIG6B"	0.138493681321977	4.10649060752806	"DIS3L2"	"chr6"	31723605.5	6
"C2orf49"	0.138394219283836	4.10129575013538	"DIS3L2"	"chr2"	105339435	2
"GGT5"	0.138370293821069	4.10004665659925	"DIS3L2"	"chr22"	24235745	22
"CD96"	0.138250093425537	4.09377433605241	"DIS3L2"	"chr3"	111555273.25	3
"MRPL24"	-0.138145756077085	4.08833393044315	"DIS3L2"	"chr1"	156738291.5	1
"TMA7"	0.138002962350339	4.08089455928127	"DIS3L2"	"chr3"	48440412.75	3
"LRRC41"	0.137990069452942	4.08022321090665	"DIS3L2"	"chr1"	46290548.5	1
"OBSL1"	0.137932684500839	4.07723582224149	"DIS3L2"	"chr2"	219570890.25	2
"NYNRIN"	0.137854823651991	4.07318434690336	"DIS3L2"	"chr14"	24409924.75	14
"OR4C11"	0.137523654689619	4.05597598680143	"DIS3L2"	"chr11"	55604047	11
"LYSMD2"	0.137417376276723	4.05046171768564	"DIS3L2"	"chr15"	51725004.75	15
"GPATCH11"	0.137359818985762	4.04747701727376	"DIS3L2"	"chr2"	37092621.5	2
"RAB21"	0.137305785171836	4.04467609669414	"DIS3L2"	"chr12"	71762736.25	12
"CLGN"	0.137210324051737	4.03973025434978	"DIS3L2"	"chr4"	140403971.5	4
"IFI44L"	-0.137009634037287	4.02934300417692	"DIS3L2"	"chr1"	78628278.25	1
"SLCO1B1"	0.136806924689645	4.01886568524781	"DIS3L2"	"chr12"	21172512	12
"MMD2"	0.136728527045739	4.01481748501864	"DIS3L2"	"chr7"	4929927	7
"ATXN1L"	0.136721602348935	4.01446002046786	"DIS3L2"	"chr16"	71850236	16
"SPRR4"	-0.136672860790829	4.01194437803663	"DIS3L2"	"chr1"	152971971.25	1
"RAMAC"	0.136583561315052	4.00733764288267	"DIS3L2"	"chr15"	82989125.5	15
"EBP"	-0.138197434836941	4.00680862806693	"DIS3L2"	"chrX"	48524694.25	24
"LBX2"	0.136570790403847	4.0066790538961	"DIS3L2"	"chr2"	74500496	2
"PAK5"	-0.136489145162353	4.00247001397839	"DIS3L2"	"chr20"	9596365.25	20
"OXTR"	0.136431067176714	3.99947736449822	"DIS3L2"	"chr3"	8767942.5	3
"CHN2"	-0.136395600451183	3.99765041646079	"DIS3L2"	"chr7"	29488123.25	7
"LNPK"	0.136192161742981	3.98717954045889	"DIS3L2"	"chr2"	175961870	2
"APOF"	0.13608220685022	3.98152630530223	"DIS3L2"	"chr12"	56361899.25	12
"C14orf177"	-0.136059584046614	3.98036370276848	"DIS3L2"	"chr14"	98716253.5	14
"STAT6"	0.135883180101901	3.97130436839583	"DIS3L2"	"chr12"	57106097.5	12
"MRPS25"	-0.135818213159491	3.96797071688127	"DIS3L2"	"chr3"	15060856.75	3
"GNAT3"	-0.135801578863509	3.96711739995613	"DIS3L2"	"chr7"	80489585.25	7
"C2CD6"	0.135570485129534	3.95527269968725	"DIS3L2"	"chr2"	201615379.75	2
"CXCL8"	0.135566771126307	3.95508249237811	"DIS3L2"	"chr4"	73740916.5	4
"PCNP"	0.135401993889356	3.94664855912068	"DIS3L2"	"chr3"	101578469.25	3
"DIAPH3"	0.135389619401204	3.94601557164159	"DIS3L2"	"chr13"	60116395.25	13
"STRAP"	0.135380390019251	3.94554349972952	"DIS3L2"	"chr12"	15884960.75	12
"RAB28"	0.135254654704275	3.93911527903331	"DIS3L2"	"chr4"	13476799	4
"OR6B2"	0.135202410981326	3.93644595636746	"DIS3L2"	"chr2"	240030338	2
"HEBP1"	0.135191008945858	3.93586351261051	"DIS3L2"	"chr12"	12988285.5	12
"PAN2"	0.135117730476244	3.93212136330659	"DIS3L2"	"chr12"	56327781.75	12
"XRN1"	0.134845689780744	3.91824547270428	"DIS3L2"	"chr3"	142429822.5	3
"NCOA6"	-0.135665501782707	3.90881223988757	"DIS3L2"	"chr20"	34757695.25	20
"GEMIN5"	-0.134659052540061	3.90874080745113	"DIS3L2"	"chr5"	154927483.75	5
"PPP1R14D"	-0.134556790050595	3.90353820309358	"DIS3L2"	"chr15"	40828523.25	15
"PTPN14"	-0.134504596369098	3.90088426887575	"DIS3L2"	"chr1"	214405555.25	1
"ABCG1"	-0.134501265792746	3.9007149489321	"DIS3L2"	"chr21"	42238944	21
"KDM6A"	-0.137015932561373	3.89881425466343	"DIS3L2"	"chrX"	45009590.6	24
"ALKBH4"	0.134183113854486	3.88455873512029	"DIS3L2"	"chr7"	102463483.5	7
"ZBTB43"	0.134172999119827	3.8840456787037	"DIS3L2"	"chr9"	126832939.25	9
"ORM2"	0.134036455962546	3.87712323295961	"DIS3L2"	"chr9"	114330680	9
"TPRN"	-0.134020906372411	3.87633531814747	"DIS3L2"	"chr9"	137200052	9
"BLNK"	-0.133886800778154	3.86954357114295	"DIS3L2"	"chr10"	96224736.25	10
"DDX28"	-0.133885231618631	3.86946413887061	"DIS3L2"	"chr16"	68023033.75	16
"MAP4K4"	-0.133833900721625	3.8668662001362	"DIS3L2"	"chr2"	101799426	2
"ING4"	0.134754214784818	3.86291496638027	"DIS3L2"	"chr12"	6657718.33333333	12
"PKD1"	0.133394476929891	3.84466418322707	"DIS3L2"	"chr16"	2119196.25	16
"GNL1"	0.133388486802488	3.84436199936275	"DIS3L2"	"chr6"	30555161	6
"FAM110A"	0.133198786359162	3.83479870883472	"DIS3L2"	"chr20"	844970	20
"EFNB3"	0.133155277796749	3.8326071127494	"DIS3L2"	"chr17"	7707610.75	17
"MRPS12"	-0.132948244847393	3.82218764497007	"DIS3L2"	"chr19"	38932403	19
"PTGES3"	0.132895539641106	3.8195375243796	"DIS3L2"	"chr12"	56673044.25	12
"UBAP1L"	0.132881088136022	3.81881104499207	"DIS3L2"	"chr15"	65104280.25	15
"PDGFB"	0.132675219099239	3.80846994318719	"DIS3L2"	"chr22"	39234223.5	22
"ZFP36L1"	0.132603526059171	3.80487219184728	"DIS3L2"	"chr14"	68790291.75	14
"ADA2"	0.132573318982236	3.80335685921486	"DIS3L2"	"chr22"	17189174.5	22
"ALG10B"	0.132417206076942	3.79553058981519	"DIS3L2"	"chr12"	38318537.6666667	12
"SMCO2"	0.13239631242577	3.794483796223	"DIS3L2"	"chr12"	27473513.3333333	12
"TAB2"	0.132377319242931	3.79353235104485	"DIS3L2"	"chr6"	149378571	6
"VPS37C"	0.132351545983816	3.79224146700326	"DIS3L2"	"chr11"	61134441.75	11
"ESPL1"	-0.133310942783301	3.79081319644547	"DIS3L2"	"chr12"	53279916.25	12
"GPRIN2"	-0.132142927594299	3.78180115120124	"DIS3L2"	"chr10"	46550441.75	10
"BIK"	-0.131831021700908	3.76622029494593	"DIS3L2"	"chr22"	43125025.25	22
"OR1Q1"	0.131724506319282	3.76090727424053	"DIS3L2"	"chr9"	122615045.25	9
"COA5"	-0.131718909712577	3.76062822377718	"DIS3L2"	"chr2"	98608385.75	2
"INTS13"	0.131627745879928	3.75608428241015	"DIS3L2"	"chr12"	26930263	12
"NCL"	0.131595501816338	3.75447781719121	"DIS3L2"	"chr2"	231462074.75	2
"SYT11"	-0.13156775851041	3.75309588072635	"DIS3L2"	"chr1"	155868503	1
"TRIM26"	0.131375988350482	3.74355089599631	"DIS3L2"	"chr6"	30197123.25	6
"AGO3"	0.131367422643278	3.74312485547694	"DIS3L2"	"chr1"	36019230.5	1
"GBP3"	-0.131349984324279	3.74225758912188	"DIS3L2"	"chr1"	89015147	1
"TGM5"	-0.131331463792671	3.74133661741499	"DIS3L2"	"chr15"	43252305.25	15
"MALL"	0.131297784758279	3.73966216595591	"DIS3L2"	"chr2"	110097702.5	2
"CYTH3"	0.131218636185262	3.73572862877624	"DIS3L2"	"chr7"	6179312	7
"SLC35G2"	0.131187351323456	3.7341744346572	"DIS3L2"	"chr3"	136854922	3
"FBXO21"	0.131164893322733	3.73305895982552	"DIS3L2"	"chr12"	117189590	12
"KCNIP3"	0.13209640785313	3.73069712840509	"DIS3L2"	"chr2"	95360984	2
"AURKAIP1"	-0.131019946149109	3.72586377608612	"DIS3L2"	"chr1"	1374312	1
"CA6"	-0.130890752482727	3.7194568019049	"DIS3L2"	"chr1"	8958106.75	1
"CHEK2"	-0.130842599291489	3.71707028401983	"DIS3L2"	"chr22"	28707073	22
"RPL35A"	0.130837642425518	3.71682466314494	"DIS3L2"	"chr3"	197951216	3
"YTHDF2"	0.130690996033234	3.70956198638942	"DIS3L2"	"chr1"	28742898.25	1
"RTN4RL2"	0.130564195312139	3.70328824005518	"DIS3L2"	"chr11"	57467944.75	11
"SMARCAL1"	0.131468117714691	3.69979859731155	"DIS3L2"	"chr2"	216425219	2
"CRISP1"	0.130428464237595	3.6965788833254	"DIS3L2"	"chr6"	49854703	6
"SLC25A38"	0.130416806719056	3.69600293838151	"DIS3L2"	"chr3"	39387164.5	3
"TIGD5"	0.130365239071217	3.69345578624331	"DIS3L2"	"chr8"	143598338.75	8
"PRPF40B"	0.130261868107997	3.68835264450629	"DIS3L2"	"chr12"	49633420.25	12
"KLF5"	-0.130247915178559	3.68766411303237	"DIS3L2"	"chr13"	73062061.25	13
"ERCC6L"	0.131752327669579	3.68542782472132	"DIS3L2"	"chrX"	72207747.25	24
"TPRKB"	0.130023908373839	3.67661943646567	"DIS3L2"	"chr2"	73734509.25	2
"FZD10"	0.129941364247481	3.67255401758242	"DIS3L2"	"chr12"	130163388.75	12
"RASGEF1A"	0.129686308634198	3.66000721647345	"DIS3L2"	"chr10"	43202530.5	10
"TTC32"	0.129610646719178	3.65628960008145	"DIS3L2"	"chr2"	19901777	2
"PLA2G4D"	-0.12958279947492	3.65492184141484	"DIS3L2"	"chr15"	42085737	15
"FBLN1"	-0.129504948337308	3.65109950604188	"DIS3L2"	"chr22"	45529779.75	22
"PPL"	-0.129489218518968	3.65032746071065	"DIS3L2"	"chr16"	4895304.5	16
"ACTL7A"	0.129477635140565	3.64975898477081	"DIS3L2"	"chr9"	108862721.25	9
"TRRAP"	-0.130439036602756	3.64948397384133	"DIS3L2"	"chr7"	98909489.75	7
"TK1"	-0.129441088926308	3.64796571848772	"DIS3L2"	"chr17"	78183623.5	17
"KIF20B"	0.129384476874404	3.64518877439359	"DIS3L2"	"chr10"	89712849.25	10
"CELF2"	-0.129326709090079	3.64235629398394	"DIS3L2"	"chr10"	11238065	10
"SUMO1"	0.129286192145204	3.64037035580926	"DIS3L2"	"chr2"	202218596.75	2
"USP30"	0.129266734632316	3.63941684969319	"DIS3L2"	"chr12"	109063533.25	12
"MRPL55"	-0.129091513811255	3.63083619781822	"DIS3L2"	"chr1"	228107888.75	1
"MRPL36"	-0.129069641416479	3.62976584883772	"DIS3L2"	"chr5"	1798882	5
"MTMR6"	0.128950058744136	3.62391689822846	"DIS3L2"	"chr13"	25265832.25	13
"PLXNA4"	0.128828356276274	3.61796939484538	"DIS3L2"	"chr7"	132508231	7
"PCGF2"	0.129789623659299	3.61792026715554	"DIS3L2"	"chr17"	38739087	17
"MEIG1"	-0.128808578362151	3.61700335252857	"DIS3L2"	"chr10"	14966520.6666667	10
"MRPL1"	-0.128669403847608	3.61020930618058	"DIS3L2"	"chr4"	77879183.25	4
"EDEM1"	0.128602368331767	3.60693926441199	"DIS3L2"	"chr3"	5195031.5	3
"BAG2"	0.128582305971987	3.6059609128243	"DIS3L2"	"chr6"	57175518.5	6
"CPXM2"	-0.128578886309189	3.60579416517812	"DIS3L2"	"chr10"	123861363.75	10
"NPY5R"	0.12840255318739	3.59720144324197	"DIS3L2"	"chr4"	163350537.5	4
"MRPS7"	-0.128352553420056	3.59476692733916	"DIS3L2"	"chr17"	75262663.75	17
"ELMSAN1"	0.128292199587383	3.59182942873087	"DIS3L2"	"chr14"	73739041	14
"ZNF391"	0.128285029046303	3.59148051377763	"DIS3L2"	"chr6"	27400557	6
"HELB"	0.128230227618942	3.58881449629172	"DIS3L2"	"chr12"	66304724.75	12
