"gene"	"gene_cor"	"DICER1_p"	"gene_selected"	"genome_alignment"	"avg_pos"	"chromosome_name"
"CCL26"	"-0.135664382436702"	3.96008313072228	"DICER1"	"chr7"	75772050.25	7
"ANKRD39"	"-0.135432620110929"	3.94821540271843	"DICER1"	"chr2"	96856165	2
"PINK1"	"0.13526292170617"	3.93953775852328	"DICER1"	"chr1"	20635843.5	1
"ZNF720"	"-0.134583567132622"	3.9049001312906	"DICER1"	"chr16"	31722843.75	16
"ARSK"	"0.134403752142795"	3.89575927817024	"DICER1"	"chr5"	95570312.25	5
"PTPN12"	"-0.134383632900614"	3.89473722932113	"DICER1"	"chr7"	77611641.5	7
"ZFYVE26"	"0.134286966969105"	3.88982862868561	"DICER1"	"chr14"	67804837.5	14
"DBP"	"-0.134182604817645"	3.88453291404539	"DICER1"	"chr19"	48636039	19
"CCDC130"	"-0.133983280291414"	3.87442911530106	"DICER1"	"chr19"	13757194.5	19
"RAP1A"	"0.133598519602494"	3.85496505465272	"DICER1"	"chr1"	111695909.5	1
"MED19"	"0.13441717431125"	3.84601278522726	"DICER1"	"chr11"	57710334.75	11
"SLC52A3"	"0.133412296267844"	3.84556318967141	"DICER1"	"chr20"	765548	20
"METTL1"	"0.133395284208451"	3.84470490896064	"DICER1"	"chr12"	57771814.5	12
"TARBP2"	"0.133310872129129"	3.84044771372049	"DICER1"	"chr12"	53503684	12
"ZNF213"	"-0.133192933986475"	3.83450387670757	"DICER1"	"chr16"	3137784	16
"MRPL27"	"-0.133166771914679"	3.83318602524538	"DICER1"	"chr17"	50371179.5	17
"COPS7A"	"-0.132821768932885"	3.81582982815336	"DICER1"	"chr12"	6728360.75	12
"GRK2"	"-0.132815750367819"	3.81552742101678	"DICER1"	"chr11"	67280064.5	11
"CUL2"	"0.132601361303603"	3.80476358661129	"DICER1"	"chr10"	35066605.5	10
"LRRC17"	"0.132233652077548"	3.7863395845985	"DICER1"	"chr7"	102934162.75	7
"NAGPA"	"-0.132228180007797"	3.78606576599587	"DICER1"	"chr16"	5033621	16
"PYURF"	"-0.131934057411327"	3.7713635354825	"DICER1"	"chr4"	88523604	4
"TRMT61A"	"0.131900232482149"	3.76967468356673	"DICER1"	"chr14"	103530155.75	14
"IGFBP7"	"-0.131893234359103"	3.76932532293976	"DICER1"	"chr4"	57110068.5	4
"DPH6"	"0.131737052312163"	3.76153286555082	"DICER1"	"chr15"	35538378.5	15
"SHISA6"	"0.131654244887345"	3.7574047901177	"DICER1"	"chr17"	11247200.5	17
"ZXDA"	"-0.132970623846498"	3.74508394808556	"DICER1"	"chrX"	57909644	24
"SINHCAF"	"0.132302556870533"	3.74086499150919	"DICER1"	"chr12"	31296379.25	12
"ADRA1B"	"0.131271388906759"	3.73835009709773	"DICER1"	"chr5"	159917361	5
"BCL2"	"0.131189182359773"	3.73426538887756	"DICER1"	"chr18"	63318478.25	18
"FIBP"	"-0.130824183481533"	3.71615779370873	"DICER1"	"chr11"	65887113.25	11
"MDFI"	"-0.130734961020815"	3.711738566072	"DICER1"	"chr6"	41644354.25	6
"RSU1"	"0.130525285649007"	3.70136422724506	"DICER1"	"chr10"	16759204.75	10
"TTK"	"-0.130385316625307"	3.69444739397241	"DICER1"	"chr6"	80010447.5	6
"WDR82"	"0.131248836669927"	3.68904671055649	"DICER1"	"chr3"	52273845	3
"HIVEP2"	"-0.129803425851863"	3.66576566971201	"DICER1"	"chr6"	142772220.25	6
"PHRF1"	"0.130762737793011"	3.6652712450077	"DICER1"	"chr11"	600870	11
"FAM20A"	"0.129677226797096"	3.65956087849785	"DICER1"	"chr17"	68589263.5	17
"CHRDL2"	"-0.129575944114751"	3.65458517183441	"DICER1"	"chr11"	74712243.5	11
"SLC35B1"	"0.12951372868206"	3.65153049741101	"DICER1"	"chr17"	49707202.25	17
"MRRF"	"-0.129481780252809"	3.64996240851002	"DICER1"	"chr9"	122270967.5	9
"GET4"	"0.12943158302985"	3.64749935535278	"DICER1"	"chr7"	881781.75	7
"BTBD6"	"0.12941215260964"	3.6465461893348	"DICER1"	"chr14"	105249224	14
"INSIG1"	"0.129271788630534"	3.63966450573809	"DICER1"	"chr7"	155298356.333333	7
"C10orf71"	"-0.129257506578201"	3.6389646795729	"DICER1"	"chr10"	49323563.5	10
"PRAF2"	"-0.130519070364216"	3.62555634373991	"DICER1"	"chrX"	49073910	24
"SPERT"	"-0.128932958806393"	3.62308092537236	"DICER1"	"chr13"	45710962.5	13
"UTP6"	"-0.128720607250079"	3.61270810289957	"DICER1"	"chr17"	31890910.75	17
"DDX3X"	"-0.130203623934913"	3.61032569623005	"DICER1"	"chrX"	41343128.5	24
"TAS2R5"	"0.128660193484071"	3.60975992488378	"DICER1"	"chr7"	141790510.5	7
"REG1B"	"-0.128618526832074"	3.60772734440866	"DICER1"	"chr2"	79087298	2
"TRIP12"	"-0.129415151407669"	3.59978565027852	"DICER1"	"chr2"	229856557	2
"ECSIT"	"-0.128235208218018"	3.58905675259739	"DICER1"	"chr19"	11513440.25	19
"RNF169"	"-0.129181820080841"	3.58851049036341	"DICER1"	"chr11"	74766210	11
"IGFBP6"	"-0.128031617961376"	3.57916117889787	"DICER1"	"chr12"	53099292.25	12
"OR4F21"	"0.127906929678632"	3.57310780320377	"DICER1"	"chr8"	166795.4	8
"DIABLO"	"-0.127880158292851"	3.5718088112882	"DICER1"	"chr12"	122222613.25	12
"POU2AF1"	"0.127786580644765"	3.56727023313469	"DICER1"	"chr11"	111358257.5	11
"ELOB"	"0.12874066446889"	3.56724391803622	"DICER1"	"chr16"	2777056.5	16
"TDRD9"	"-0.128623409392471"	3.56160271850569	"DICER1"	"chr14"	103971418	14
"UBE4A"	"-0.12748506434659"	3.55266726391262	"DICER1"	"chr11"	118371924.75	11
"ATL2"	"0.12741814920649"	3.54943074276923	"DICER1"	"chr2"	38347999	2
"FCRL1"	"-0.127408397632025"	3.54895921334605	"DICER1"	"chr1"	157804393	1
"SYT12"	"-0.12730121853372"	3.54377883970831	"DICER1"	"chr11"	67036234.25	11
"TAT"	"-0.128185814861944"	3.54059155849607	"DICER1"	"chr16"	71575570	16
"LSM1"	"-0.127230904521324"	3.54038247081178	"DICER1"	"chr8"	38172005.75	8
"NSRP1"	"-0.127218679443398"	3.53979214023566	"DICER1"	"chr17"	30180035	17
"SLC35B3"	"0.127215544996922"	3.53964079093109	"DICER1"	"chr6"	8427645.25	6
"TRIM28"	"0.12815406245763"	3.53906952310866	"DICER1"	"chr19"	58547661	19
"TSGA13"	"0.127171714773616"	3.53752477151199	"DICER1"	"chr7"	130681211	7
"AP3M2"	"-0.127158042351825"	3.53686483633658	"DICER1"	"chr8"	42158227.75	8
"C16orf54"	"-0.127018596070289"	3.530137816881	"DICER1"	"chr16"	29744815.5	16
"NRP1"	"-0.126863894330818"	3.52268278635177	"DICER1"	"chr10"	33276841.75	10
"SNAI2"	"0.127781829543491"	3.52125255399093	"DICER1"	"chr8"	48920575	8
"ZNF286A"	"0.126827814605086"	3.52094531398212	"DICER1"	"chr17"	15711829.75	17
"ZFP37"	"-0.126723417993099"	3.51592049503108	"DICER1"	"chr9"	113047179.5	9
"CPXCR1"	"-0.128227751586065"	3.51569719730474	"DICER1"	"chrX"	88753545.6666667	24
"C1QB"	"0.126636403004624"	3.51173518864355	"DICER1"	"chr1"	22659818.25	1
"OR2AP1"	"-0.126513525324027"	3.50582942400615	"DICER1"	"chr12"	55574542.5	12
"TCIM"	"-0.126405121644503"	3.50062367499798	"DICER1"	"chr8"	40153615	8
"RORC"	"-0.126295999290737"	3.49538754500232	"DICER1"	"chr1"	151815613.5	1
"IQUB"	"0.126213358679536"	3.49142487329809	"DICER1"	"chr7"	123505121	7
"CNIH4"	"-0.126211163747251"	3.49131965724961	"DICER1"	"chr1"	224357850	1
"IER5L"	"-0.126112863632474"	3.48660927174265	"DICER1"	"chr9"	129177837.333333	9
"EMC3"	"0.126043836956455"	3.48330363227572	"DICER1"	"chr3"	9984199.25	3
"ZNF639"	"0.125969859110275"	3.4797627249173	"DICER1"	"chr3"	179332496.75	3
"SLC25A21"	"0.125946332029398"	3.47863701362818	"DICER1"	"chr14"	36840489.75	14
"DNAJC4"	"-0.125844727752543"	3.47377771720755	"DICER1"	"chr11"	64231974.5	11
"COX6A2"	"-0.125782693806467"	3.47081266512552	"DICER1"	"chr16"	31428187.5	16
"BTN1A1"	"-0.125733025927707"	3.46843964175885	"DICER1"	"chr6"	26501743.3333333	6
"CCDC124"	"-0.125636797695995"	3.46384450679436	"DICER1"	"chr19"	17939602.5	19
"ACTN1"	"0.125607744081068"	3.46245775794889	"DICER1"	"chr14"	68901479.5	14
"UBE2J1"	"0.125323766984766"	3.44891878861359	"DICER1"	"chr6"	89340321.5	6
"FRMD4A"	"0.12529880990449"	3.44773026797476	"DICER1"	"chr10"	13779263.5	10
"ARMC5"	"-0.125230185666893"	3.44446332033779	"DICER1"	"chr16"	31461504.5	16
"TMEM42"	"-0.125179464658106"	3.44204973131953	"DICER1"	"chr3"	44861982.5	3
"OR51S1"	"-0.125127787991919"	3.43959158607997	"DICER1"	"chr11"	4848920.75	11
"DDX6"	"0.125099138092474"	3.43822917322378	"DICER1"	"chr11"	118773969.75	11
"PFN2"	"0.125080838981253"	3.43735912937693	"DICER1"	"chr3"	149970784.666667	3
"AADAC"	"0.124895070437259"	3.42853322047376	"DICER1"	"chr3"	151818522.5	3
"LAMB4"	"0.12438409784114"	3.40431860257386	"DICER1"	"chr7"	108099287.75	7
"EIF2B2"	"0.124377635960051"	3.40401295910299	"DICER1"	"chr14"	75003176.75	14
"PTPN14"	"-0.124292131569884"	3.39997001230103	"DICER1"	"chr1"	214405555.25	1
"SSB"	"0.124152086516268"	3.39335367243802	"DICER1"	"chr2"	169805670.25	2
"DDHD2"	"-0.124137545611207"	3.39266708654045	"DICER1"	"chr8"	38241097.5	8
"CSNK1D"	"-0.1239169570226"	3.38226043029803	"DICER1"	"chr17"	82253690.25	17
"SLC25A27"	"-0.123642192445746"	3.36932152764237	"DICER1"	"chr6"	46656790.5	6
"CDH9"	"0.123563610734888"	3.3656258601476	"DICER1"	"chr5"	26927607.5	5
"WASHC4"	"0.123559975417267"	3.36545494436972	"DICER1"	"chr12"	105126149	12
"MTX1"	"-0.123479305119383"	3.36166337972563	"DICER1"	"chr1"	155209028.5	1
"RBM18"	"-0.12341520643958"	3.35865230173941	"DICER1"	"chr9"	122254302.75	9
"ZNF81"	"-0.124733912334348"	3.35162075369571	"DICER1"	"chrX"	47903461	24
"PRPS1"	"-0.124492245490696"	3.34042480958614	"DICER1"	"chrX"	107639409	24
"SAE1"	"0.122862162444355"	3.33273182226921	"DICER1"	"chr19"	47146887	19
"TMEM106C"	"-0.122852683127956"	3.33228846208672	"DICER1"	"chr12"	47964759.25	12
"YIPF6"	"-0.12408545109497"	3.32162349001101	"DICER1"	"chrX"	68515175.75	24
"RNF165"	"-0.122602932319251"	3.32061849436623	"DICER1"	"chr18"	46450360	18
"OR4P4"	"-0.122475049481708"	3.31465134278176	"DICER1"	"chr11"	55638546	11
"CAPN5"	"-0.122293482138142"	3.30618893656029	"DICER1"	"chr11"	77099941.25	11
"BCHE"	"0.122250068557175"	3.30416722643212	"DICER1"	"chr3"	165830744.25	3
"CNNM3"	"-0.122138259228831"	3.29896342359134	"DICER1"	"chr2"	96816542	2
"MAP3K4"	"0.12305045774142"	3.29892185988464	"DICER1"	"chr6"	161049374.5	6
"MMGT1"	"0.123495997297585"	3.29447932579983	"DICER1"	"chrX"	135973624.75	24
"EPC1"	"-0.122830402002763"	3.28876746695403	"DICER1"	"chr10"	32323280.5	10
"ZPR1"	"0.121627106728031"	3.27522855174505	"DICER1"	"chr11"	116786884.25	11
"STT3B"	"0.121434598979112"	3.26631305597996	"DICER1"	"chr3"	31544855.75	3
"NPAS4"	"-0.121433684652599"	3.26627074188475	"DICER1"	"chr11"	66422331.75	11
"ALG2"	"0.121238421126993"	3.25724076377721	"DICER1"	"chr9"	99220945.5	9
"MFSD12"	"-0.121232129479927"	3.25695002509538	"DICER1"	"chr19"	3555069.75	19
"TRIM34"	"0.121205841456316"	3.25573539647717	"DICER1"	"chr11"	5632617.5	11
"PPM1H"	"-0.121086917208075"	3.25024352729547	"DICER1"	"chr12"	62934605	12
"SIN3A"	"0.121929679057883"	3.24737594560857	"DICER1"	"chr15"	75408750	15
"FNTB"	"0.120873888036947"	3.24041814597803	"DICER1"	"chr14"	65005833	14
"TRIM72"	"-0.12076544403975"	3.2354224853714	"DICER1"	"chr16"	31217244	16
"TUBA3D"	"-0.120686564152934"	3.23179129728869	"DICER1"	"chr2"	131479372.5	2
"ATP2C1"	"0.120552478432698"	3.22562367023993	"DICER1"	"chr3"	130951635.5	3
"SLC7A10"	"-0.120526403263509"	3.22442499460054	"DICER1"	"chr19"	33213469.75	19
"CDC6"	"-0.120441194243549"	3.22050957173725	"DICER1"	"chr17"	40290845.75	17
"ATP6V1B2"	"0.120372962882988"	3.21737609224849	"DICER1"	"chr8"	20210591.75	8
"UNC119"	"-0.120348898732033"	3.21627134540819	"DICER1"	"chr17"	28550598.75	17
"MRPL38"	"-0.120317243979759"	3.21481843041021	"DICER1"	"chr17"	75903965.25	17
"SUN5"	"-0.120269543224657"	3.21262967616349	"DICER1"	"chr20"	33001084.75	20
"MKLN1"	"0.120238353305181"	3.21119894779375	"DICER1"	"chr7"	131400740.25	7
"SEL1L"	"0.120059553939571"	3.20300362816702	"DICER1"	"chr14"	81525103.25	14
"RGPD4"	"-0.120017283809784"	3.20106777620027	"DICER1"	"chr2"	107850459.714286	2
"EIF5"	"0.119986041242403"	3.199637351297	"DICER1"	"chr14"	103337265	14
"STX4"	"-0.119929707098726"	3.19705897205686	"DICER1"	"chr16"	31034346	16
"FOXD3"	"0.11989647346127"	3.19553840201075	"DICER1"	"chr1"	63323366.6	1
"SYTL3"	"-0.119874310725143"	3.19452458103411	"DICER1"	"chr6"	158674315	6
"OR4C15"	"-0.119641648252483"	3.18389179606627	"DICER1"	"chr11"	55554707	11
"GNRHR"	"-0.119547989831772"	3.17961682904738	"DICER1"	"chr4"	67754119.75	4
"USP10"	"0.119339853836742"	3.17012744300397	"DICER1"	"chr16"	84745141	16
"MCMBP"	"0.120214714691448"	3.16933033946902	"DICER1"	"chr10"	119854628.75	10
"CDHR2"	"0.119187941159918"	3.16321082544072	"DICER1"	"chr5"	176574970.666667	5
"CLPX"	"-0.119180205566901"	3.16285883487919	"DICER1"	"chr15"	65171980.25	15
"FDXACB1"	"0.119118382742913"	3.16004646844312	"DICER1"	"chr11"	111877346	11
"LTO1"	"0.119056424872255"	3.1572292791986	"DICER1"	"chr11"	69674246.75	11
"CAPZA1"	"-0.119024931261083"	3.15579778929827	"DICER1"	"chr1"	112647798.25	1
"OR5AK2"	"-0.118994137421361"	3.15439843657811	"DICER1"	"chr11"	56989234	11
"H2AFZ"	"0.118973879072801"	3.15347802222049	"DICER1"	"chr4"	99949487.75	4
"ADIPOR1"	"0.11892449718185"	3.15123500582227	"DICER1"	"chr1"	202949870.75	1
"GPR45"	"-0.118740427467273"	3.14288161717448	"DICER1"	"chr2"	105242140.5	2
"KDM6A"	"-0.120654491410307"	3.12757530323397	"DICER1"	"chrX"	45009590.6	24
"SEPSECS"	"0.11835948497459"	3.12563085309388	"DICER1"	"chr4"	25160308.25	4
"TSPAN17"	"-0.118287053828783"	3.12235649881145	"DICER1"	"chr5"	176652040.25	5
"NHLH2"	"-0.11826032212969"	3.12114850973532	"DICER1"	"chr1"	115838281.5	1
"TBC1D8B"	"-0.119621244539535"	3.11896764367452	"DICER1"	"chrX"	106816763.5	24
"TAF12"	"0.119047781135679"	3.11679601106545	"DICER1"	"chr1"	28621009.75	1
"MSTO1"	"0.118103622804999"	3.1140723061568	"DICER1"	"chr1"	155610858.5	1
"GCFC2"	"-0.118013290635645"	3.10999693693655	"DICER1"	"chr2"	75710676.25	2
"JAGN1"	"0.117913562281799"	3.10550091377385	"DICER1"	"chr3"	9892466.75	3
"HOPX"	"-0.117806074924968"	3.10065892215562	"DICER1"	"chr4"	56655945.25	4
"PSMD9"	"-0.118591538689213"	3.09638194418694	"DICER1"	"chr12"	121888870.5	12
