"gene"	"gene_cor"	"DROSHA_p"	"gene_selected"	"genome_alignment"	"avg_pos"	"chromosome_name"
"RBSN"	"0.165339064254444"	5.63826921723348	"DROSHA"	"chr3"	15092617.25	3
"ACTB"	"-0.166365949980514"	5.62590252226178	"DROSHA"	"chr7"	5529133.75	7
"GLE1"	"0.162657502287413"	5.47351670519322	"DROSHA"	"chr9"	128514339	9
"ANTXR1"	"-0.162009584613741"	5.43410450214284	"DROSHA"	"chr2"	69035635	2
"VARS2"	"-0.160922361607529"	5.36831469941614	"DROSHA"	"chr6"	30918277.75	6
"RRP8"	"0.162077832043796"	5.36587472292856	"DROSHA"	"chr11"	6602187	11
"TARS2"	"-0.160456524766312"	5.34025822514183	"DROSHA"	"chr1"	150489501.25	1
"BRIX1"	"0.159900773769549"	5.30688999121522	"DROSHA"	"chr5"	34920932.75	5
"RNF115"	"-0.159187801292205"	5.26424684280854	"DROSHA"	"chr1"	145784796.25	1
"BET1"	"0.158822003879171"	5.24244025994126	"DROSHA"	"chr7"	93999267.25	7
"SMG6"	"0.158059881457127"	5.19716371272238	"DROSHA"	"chr17"	2196544.25	17
"TFB2M"	"-0.157443395729553"	5.16069381489822	"DROSHA"	"chr1"	246563782.5	1
"MED19"	"0.156537054051283"	5.03968867498521	"DROSHA"	"chr11"	57710334.75	11
"EFNA3"	"-0.154348591558548"	4.97969716008883	"DROSHA"	"chr1"	155082080.75	1
"TAF10"	"0.154359734014495"	4.91451767245537	"DROSHA"	"chr11"	6611999.5	11
"UNC5B"	"-0.153199878050317"	4.91339864626053	"DROSHA"	"chr10"	71287450.75	10
"MIS18A"	"-0.154203491280764"	4.9056005293347	"DROSHA"	"chr21"	32278783.5	21
"ITGA7"	"-0.152387841020727"	4.86681928238838	"DROSHA"	"chr12"	55701744	12
"MED14"	"0.155228120857436"	4.86434006142058	"DROSHA"	"chrX"	40703672.5	24
"SLC22A14"	"0.151508761479272"	4.81666257367366	"DROSHA"	"chr3"	38306276.5	3
"ALG10B"	"-0.151417554116334"	4.81147460991131	"DROSHA"	"chr12"	38318537.6666667	12
"MSH4"	"-0.151139732983356"	4.79569034960974	"DROSHA"	"chr1"	75803006.25	1
"TFB1M"	"-0.150694404312804"	4.7704472532431	"DROSHA"	"chr6"	155309613.25	6
"NARS2"	"-0.150352254286058"	4.75110127060863	"DROSHA"	"chr11"	78483525.25	11
"TMEM56"	"-0.1497019568048"	4.71444802622595	"DROSHA"	"chr1"	95148399.2	1
"CCDC172"	"0.149486785175358"	4.70235362474586	"DROSHA"	"chr10"	116325207.25	10
"SREK1"	"0.148528825381984"	4.64871041055312	"DROSHA"	"chr5"	66162221.5	5
"UST"	"-0.148209604445424"	4.63090809465265	"DROSHA"	"chr6"	148795990	6
"POLRMT"	"-0.148032913703443"	4.62107012800945	"DROSHA"	"chr19"	624827.5	19
"ANP32E"	"-0.148894628289307"	4.60776761918035	"DROSHA"	"chr1"	150234753.5	1
"MAD2L1"	"-0.146986994102964"	4.56306366664096	"DROSHA"	"chr4"	120065976	4
"TPR"	"0.147260596048574"	4.51810638981409	"DROSHA"	"chr1"	186360866.25	1
"RPSA"	"0.145081269978873"	4.45837990387625	"DROSHA"	"chr3"	39409544.5	3
"TARS"	"0.145030113122006"	4.45558769638064	"DROSHA"	"chr5"	33456714.75	5
"NOL8"	"0.144849133236859"	4.44571708512864	"DROSHA"	"chr9"	92316176	9
"OIP5"	"-0.145917144854922"	4.44509559038767	"DROSHA"	"chr15"	41332355.75	15
"LTA"	"-0.144813703921985"	4.4437861460413	"DROSHA"	"chr6"	31573099.75	6
"CLEC9A"	"-0.14480453822699"	4.44328667795034	"DROSHA"	"chr12"	10056932.75	12
"DUSP27"	"-0.144166082690984"	4.40856901557018	"DROSHA"	"chr1"	167126352.333333	1
"SMG5"	"0.144089144680442"	4.40439513748718	"DROSHA"	"chr1"	156272015.5	1
"CSF1"	"-0.143849272428969"	4.39139565396294	"DROSHA"	"chr1"	109915076	1
"USP8"	"0.143809086801164"	4.38921986727756	"DROSHA"	"chr15"	50465074.25	15
"LCE1B"	"-0.143573967640676"	4.37650125929807	"DROSHA"	"chr1"	152812548.285714	1
"KRTAP1-3"	"-0.143354860486356"	4.36466655463117	"DROSHA"	"chr17"	41034694.75	17
"SMAD1"	"0.142500732537522"	4.31869561238245	"DROSHA"	"chr4"	145521132	4
"TTC1"	"0.142414980794603"	4.31409462905188	"DROSHA"	"chr5"	160010718.75	5
"ARFGEF2"	"0.141802560597836"	4.28131150639842	"DROSHA"	"chr20"	48956493.5	20
"TMPRSS11E"	"-0.141726632679137"	4.27725634958905	"DROSHA"	"chr4"	68470316.75	4
"ZRANB2"	"0.141610976552676"	4.27108332992523	"DROSHA"	"chr1"	71075003.75	1
"GBF1"	"0.141417513500854"	4.26076808377811	"DROSHA"	"chr10"	102360927.75	10
"CHMP5"	"0.14130675072182"	4.25486831940135	"DROSHA"	"chr9"	33265118.5	9
"CDC26"	"0.141149810231811"	4.24651637271167	"DROSHA"	"chr9"	113269925.25	9
"MED31"	"0.141471205453895"	4.20800466468459	"DROSHA"	"chr17"	6650787.66666667	17
"NSUN4"	"-0.140409149367068"	4.20721851791468	"DROSHA"	"chr1"	46345986.5	1
"EZH2"	"0.141406306275961"	4.20459509914319	"DROSHA"	"chr7"	148830579.75	7
"SOAT2"	"-0.140171724702073"	4.19466251404087	"DROSHA"	"chr12"	53109765.75	12
"GPKOW"	"0.14173318382267"	4.18920070215854	"DROSHA"	"chrX"	49120468.5	24
"ENKD1"	"-0.140057917220264"	4.18865099487062	"DROSHA"	"chr16"	67666246	16
"DDX46"	"0.139923873736253"	4.18157646770755	"DROSHA"	"chr5"	134763965.5	5
"NXPE1"	"0.139863660656394"	4.17840062571884	"DROSHA"	"chr11"	114528463.5	11
"OR13F1"	"-0.139846646578713"	4.17750347864835	"DROSHA"	"chr9"	104504466	9
"ANKHD1"	"-0.139741992210349"	4.17198734453827	"DROSHA"	"chr5"	140454144.25	5
"SLC4A8"	"-0.139723213072108"	4.17099794273804	"DROSHA"	"chr12"	51452239.75	12
"APOL2"	"0.139547431235072"	4.16174272712453	"DROSHA"	"chr22"	36229335	22
"TBL3"	"-0.13920280791025"	4.14362951284038	"DROSHA"	"chr16"	1974932.5	16
"C2orf15"	"-0.138722048284603"	4.11843136611868	"DROSHA"	"chr2"	99149826.5	2
"TRIM10"	"-0.138697412419131"	4.11714232726313	"DROSHA"	"chr6"	30160220.25	6
"ZNF763"	"-0.138653424210958"	4.11484123742164	"DROSHA"	"chr19"	11977760.75	19
"BIRC6"	"-0.138530826432536"	4.10843157823748	"DROSHA"	"chr2"	32403828	2
"MED15"	"0.139184137585988"	4.08873909844888	"DROSHA"	"chr22"	20556410.5	22
"RPAP1"	"0.137662733493413"	4.06319814172166	"DROSHA"	"chr15"	41534035	15
"RAB40B"	"0.137322421440915"	4.04553835169719	"DROSHA"	"chr17"	82669435	17
"POLR1B"	"-0.138212463465779"	4.03862124771866	"DROSHA"	"chr2"	112555517.25	2
"SBNO1"	"0.137145106493276"	4.03635318341892	"DROSHA"	"chr12"	123338725	12
"RBM39"	"0.137054295074957"	4.03165332472217	"DROSHA"	"chr20"	35734204.25	20
"IL37"	"-0.136668050596236"	4.01169616044095	"DROSHA"	"chr2"	112915380.25	2
"SP110"	"0.137644015313905"	4.00945391118416	"DROSHA"	"chr2"	230213936	2
"NUMA1"	"0.136620933652438"	4.00926524500843	"DROSHA"	"chr11"	72020520.5	11
"DCDC2"	"-0.136386838342022"	3.99719913454514	"DROSHA"	"chr6"	24356924	6
"PTPN23"	"0.135851672997024"	3.96968745701272	"DROSHA"	"chr3"	47406669.5	3
"TAF1"	"0.138352349748506"	3.96579874649377	"DROSHA"	"chrX"	71380778.2	24
"DDIAS"	"0.135664795041118"	3.96010427562454	"DROSHA"	"chr11"	82927979	11
"KLC1"	"0.135615691154137"	3.95758825085685	"DROSHA"	"chr14"	103662629.25	14
"ZNF337"	"0.135536453365425"	3.95352999397615	"DROSHA"	"chr20"	25685703.25	20
"SECISBP2"	"0.135421671637067"	3.9476552386358	"DROSHA"	"chr9"	89329741	9
"NCAPD2"	"0.136429721318315"	3.94752471022847	"DROSHA"	"chr12"	6511773	12
"HNRNPUL1"	"-0.135289944496729"	3.94091890786515	"DROSHA"	"chr19"	41279262	19
"MRPL22"	"-0.134805475490856"	3.91619648764991	"DROSHA"	"chr5"	154960254	5
"SASH3"	"0.135920630997631"	3.89164558050211	"DROSHA"	"chrX"	129789650	24
"NDUFA9"	"-0.134255239715813"	3.88821826703973	"DROSHA"	"chr12"	4653184.5	12
"NGDN"	"-0.134255098555278"	3.88821110302869	"DROSHA"	"chr14"	23474164.75	14
"MRPS2"	"-0.134169807866541"	3.8838838141121	"DROSHA"	"chr9"	135501841.25	9
"OR2W1"	"-0.133922000357396"	3.87132563330088	"DROSHA"	"chr6"	29044885.75	6
"ASPM"	"-0.133720225875115"	3.86111623353833	"DROSHA"	"chr1"	197132920.5	1
"ANXA2R"	"0.133536473517057"	3.8518311768752	"DROSHA"	"chr5"	43039910.25	5
"ZNF622"	"0.133490687181157"	3.8495194287552	"DROSHA"	"chr5"	16465430	5
"EXPH5"	"0.133246981050529"	3.83722712942029	"DROSHA"	"chr11"	108514396	11
"H2BFWT"	"0.134831462887321"	3.83718562614315	"DROSHA"	"chrX"	104013476.75	24
"HLA-E"	"-0.133118001875713"	3.83072999396137	"DROSHA"	"chr6"	30489991.25	6
"PPIE"	"-0.13311119731366"	3.83038738655464	"DROSHA"	"chr1"	39741488.25	1
"UPP2"	"-0.133088406222305"	3.82923998130236	"DROSHA"	"chr2"	158114823	2
"LIG1"	"0.132893547338551"	3.81943736666297	"DROSHA"	"chr19"	48151103.25	19
"SLC26A3"	"0.132848289622365"	3.81716253086849	"DROSHA"	"chr7"	107789841.5	7
"TADA3"	"0.133735945123263"	3.81197015225763	"DROSHA"	"chr3"	9790572.5	3
"RRP1"	"-0.132670769328542"	3.80824658907492	"DROSHA"	"chr21"	43794576.75	21
"DMRTA2"	"-0.13266281917292"	3.80784755212605	"DROSHA"	"chr1"	50420844	1
"TP53"	"-0.132052251369612"	3.77726801815759	"DROSHA"	"chr17"	7675377.5	17
"RBCK1"	"0.131991939536408"	3.77425447529205	"DROSHA"	"chr20"	419062.25	20
"FLOT1"	"-0.13194969070989"	3.77214422932499	"DROSHA"	"chr6"	30741630.5	6
"MCHR2"	"-0.131901686504201"	3.76974727347954	"DROSHA"	"chr6"	99949911.25	6
"SEL1L"	"0.131788484637062"	3.76409805554832	"DROSHA"	"chr14"	81525103.25	14
"FAM217B"	"-0.131589096049145"	3.75415871217345	"DROSHA"	"chr20"	59944284.75	20
"RPS6KA2"	"-0.131585516551803"	3.7539804048162	"DROSHA"	"chr6"	166491472.25	6
"TMEM170B"	"-0.13149072749458"	3.74926026311574	"DROSHA"	"chr6"	11547468.6666667	6
"SSBP1"	"-0.131490644679546"	3.7492561406132	"DROSHA"	"chr7"	141743623.75	7
"MIS12"	"-0.131403735367434"	3.74493115170626	"DROSHA"	"chr17"	5489022.25	17
"ZRANB1"	"0.131311587085832"	3.74034834085828	"DROSHA"	"chr10"	124942761.5	10
"TNRC6B"	"0.130945481306716"	3.72217020064327	"DROSHA"	"chr22"	40267929.5	22
"BRF1"	"0.131767872413008"	3.71452315788642	"DROSHA"	"chr14"	105296987	14
"GALNT12"	"-0.130692253209837"	3.70962421617368	"DROSHA"	"chr9"	98819901.5	9
"INO80"	"0.13134385691418"	3.69370374837407	"DROSHA"	"chr15"	41087277	15
"GPX4"	"0.130349214619054"	3.69266445789846	"DROSHA"	"chr19"	1104658.25	19
"RAC2"	"0.130335371394941"	3.69198091652753	"DROSHA"	"chr22"	37234241	22
"PANX3"	"0.130125633711729"	3.68163283735167	"DROSHA"	"chr11"	124615940	11
"PLA2G1B"	"-0.130043959932623"	3.67760736492713	"DROSHA"	"chr12"	120325904.75	12
"SYCP1"	"-0.129743712444786"	3.6628290642151	"DROSHA"	"chr1"	114857579.75	1
"HOXB8"	"-0.129627671158088"	3.65712591418726	"DROSHA"	"chr17"	48614512.75	17
"PPM1J"	"-0.129473646046298"	3.64956322337466	"DROSHA"	"chr1"	112713792	1
"LSM10"	"-0.130369781737185"	3.64611102676066	"DROSHA"	"chr1"	36394033.75	1
"LRBA"	"0.129208175039804"	3.63654796323175	"DROSHA"	"chr4"	150872237	4
"TUBA1C"	"-0.129202607773743"	3.6362752803067	"DROSHA"	"chr12"	49270503	12
"SMG1"	"0.12916813586889"	3.63458709851902	"DROSHA"	"chr16"	18863299.75	16
"REL"	"0.129156238001507"	3.6340045243893	"DROSHA"	"chr2"	60897932.25	2
"KIAA1958"	"-0.128876777371276"	3.62033507572544	"DROSHA"	"chr9"	112574654.75	9
"DDX55"	"-0.128809557887939"	3.61705119375973	"DROSHA"	"chr12"	123609331.75	12
"SDAD1"	"-0.128645161107102"	3.60902654633898	"DROSHA"	"chr4"	75979153	4
"NOP10"	"-0.128586745691187"	3.60617740597049	"DROSHA"	"chr15"	34342571.25	15
"RBP1"	"-0.129446004531189"	3.60127795377482	"DROSHA"	"chr3"	139539639.25	3
"TEKT4"	"-0.12825262714376"	3.58990407711288	"DROSHA"	"chr2"	94871789.25	2
"ZDBF2"	"-0.128244463116555"	3.58950693378959	"DROSHA"	"chr2"	206305551.25	2
"PIP4P2"	"-0.128146602926523"	3.58474828469531	"DROSHA"	"chr8"	91025920	8
"NOM1"	"0.127811305058095"	3.56846908674186	"DROSHA"	"chr7"	156950033	7
"TTK"	"-0.127700885846759"	3.56311665746068	"DROSHA"	"chr6"	80010447.5	6
"TSG101"	"0.128648790937688"	3.56282343629996	"DROSHA"	"chr11"	18510203.25	11
"PSTK"	"0.127640682877437"	3.56020018701791	"DROSHA"	"chr10"	122981115	10
"FXYD7"	"-0.1275457989462"	3.55560619883798	"DROSHA"	"chr19"	35147320.25	19
"KCNC4"	"-0.127442710777782"	3.55061854439067	"DROSHA"	"chr1"	110214584.25	1
"ALG1"	"-0.127326882908187"	3.54501893199653	"DROSHA"	"chr16"	5073728.75	16
"ZMYM3"	"0.128825729276375"	3.54419512618679	"DROSHA"	"chrX"	71252797.3333333	24
"TOM1L1"	"0.127076389992755"	3.53292502783956	"DROSHA"	"chr17"	54907856.75	17
"EXOC1"	"0.126969947231218"	3.52779254526114	"DROSHA"	"chr4"	55870074	4
"TMEM267"	"0.126880677238238"	3.52349114649875	"DROSHA"	"chr5"	43453819	5
"MRPL57"	"-0.126643801476932"	3.51209094286757	"DROSHA"	"chr13"	21176981.25	13
"CD2BP2"	"0.126576274309161"	3.50884461788807	"DROSHA"	"chr16"	30354041.5	16
"C6"	"0.126425034859669"	3.50157963842789	"DROSHA"	"chr5"	41188570.5	5
"PRPF4B"	"0.126307925028389"	3.49595958820936	"DROSHA"	"chr6"	4033660.5	6
"KHSRP"	"-0.126167101860506"	3.48920786578368	"DROSHA"	"chr19"	6422095.5	19
"ZNF385D"	"0.12605584714096"	3.48387867253247	"DROSHA"	"chr3"	21569474.5	3
"VPS8"	"0.125997007620533"	3.48106195172319	"DROSHA"	"chr3"	184853912	3
"WDR18"	"-0.125690687302705"	3.46641747151035	"DROSHA"	"chr19"	986544	19
"HECTD3"	"-0.125643172508585"	3.46414882020697	"DROSHA"	"chr1"	45010686.75	1
"DENND5A"	"0.125605175262868"	3.46233516062645	"DROSHA"	"chr11"	9199186.5	11
"ZDHHC2"	"0.125595405282985"	3.4618689074901	"DROSHA"	"chr8"	17176686.5	8
"KDR"	"-0.125417109608468"	3.45336592435113	"DROSHA"	"chr4"	55111448	4
"ZBTB4"	"-0.124970763062221"	3.43212794849176	"DROSHA"	"chr17"	7466223.33333333	17
"GOLGA8R"	"-0.124917908436186"	3.42961761313649	"DROSHA"	"chr15"	30409921.5	15
"STMN3"	"0.124914479710163"	3.42945479899101	"DROSHA"	"chr20"	63644123.5	20
"ATM"	"-0.124839937004886"	3.42591612425202	"DROSHA"	"chr11"	108258243.25	11
"RNF20"	"0.125455641503919"	3.41098595624327	"DROSHA"	"chr9"	101542682	9
"DEC1"	"-0.124524017816764"	3.41094029592974	"DROSHA"	"chr9"	115400418	9
"OR10C1"	"-0.124495636677922"	3.40959661309906	"DROSHA"	"chr6"	29440247.5	6
"OR5L2"	"-0.124413873609658"	3.40572716751571	"DROSHA"	"chr11"	55827406.25	11
"TEF"	"0.124332798688723"	3.40189257961089	"DROSHA"	"chr22"	41384227	22
"COL9A2"	"-0.123897662226953"	3.38135096694677	"DROSHA"	"chr1"	40312959.5	1
"CYB561A3"	"0.123809327079993"	3.37718892393541	"DROSHA"	"chr11"	61355252.25	11
"NAA25"	"0.12355702173602"	3.36531607934657	"DROSHA"	"chr12"	112083216.5	12
"RPL39L"	"-0.123531242897262"	3.36410423569712	"DROSHA"	"chr3"	187121242	3
"RSL1D1"	"-0.123481715134595"	3.36177661956514	"DROSHA"	"chr16"	11848841.25	16
"PAX5"	"0.123442720455173"	3.35994461643216	"DROSHA"	"chr9"	36999866	9
"EP300"	"0.124303814610432"	3.3570725968541	"DROSHA"	"chr22"	41145914	22
"OR6X1"	"0.123333918088957"	3.35483577546635	"DROSHA"	"chr11"	123754199.5	11
"PAK6"	"-0.12326526109788"	3.3516140811824	"DROSHA"	"chr15"	40265545.5	15
"GLIS3"	"0.123177648642481"	3.34750528331802	"DROSHA"	"chr9"	4123900.75	9
"TTF1"	"0.124048832216418"	3.34519898222627	"DROSHA"	"chr9"	132402478	9
"FAM189B"	"-0.123120000397839"	3.34480318014462	"DROSHA"	"chr1"	155251297	1
"RECK"	"0.122718850166993"	3.326032237889	"DROSHA"	"chr9"	36080538	9
"MRPL47"	"-0.122701532352884"	3.3252231436257	"DROSHA"	"chr3"	179597493.75	3
"LRRC30"	"0.122680295926472"	3.32423111216942	"DROSHA"	"chr18"	7231313.5	18
"INSRR"	"-0.122630881410454"	3.32192338298755	"DROSHA"	"chr1"	156851742	1
"EXOC2"	"0.122581827582226"	3.3196333344912	"DROSHA"	"chr6"	621333.75	6
"PARVG"	"0.12249228450934"	3.31545521779651	"DROSHA"	"chr22"	44189532.25	22
"MFF"	"-0.122293541575663"	3.30619170493001	"DROSHA"	"chr2"	227332072.25	2
"UBL4B"	"-0.122257642491657"	3.30451988707596	"DROSHA"	"chr1"	110112644.5	1
"RAB3B"	"-0.122226386232246"	3.30306464835417	"DROSHA"	"chr1"	51957157.75	1
"CNTN1"	"-0.121886761104484"	3.28727406095329	"DROSHA"	"chr12"	40921096.75	12
"HNRNPAB"	"-0.121821621032452"	3.28424998684714	"DROSHA"	"chr5"	178205251.5	5
"MRPS16"	"-0.121764482432318"	3.28159858236198	"DROSHA"	"chr10"	73251956	10
"CD101"	"-0.121678221625946"	3.27759795738299	"DROSHA"	"chr1"	117011864.75	1
"EEF1A1"	"0.121618048742283"	3.27480876752899	"DROSHA"	"chr6"	73519136.25	6
"CLCN5"	"0.123046276532442"	3.2738488336667	"DROSHA"	"chrX"	50013078.25	24
"MROH2B"	"0.121534104074648"	3.27091977651901	"DROSHA"	"chr5"	41056218	5
"TRPC1"	"0.121518350634385"	3.27019022209696	"DROSHA"	"chr3"	142757949.25	3
"AGBL4"	"-0.121444808390573"	3.26678555671538	"DROSHA"	"chr1"	49899101.75	1
"PPP1R3B"	"0.121376973195976"	3.26364675835844	"DROSHA"	"chr8"	9141509.5	8
"KIF3A"	"-0.121245813619398"	3.25758239028806	"DROSHA"	"chr5"	132732342.75	5
"TIAM2"	"-0.121105329917269"	3.25109349843841	"DROSHA"	"chr6"	155243322.75	6
"GPR61"	"-0.12105540978549"	3.24878934700907	"DROSHA"	"chr1"	109543229.75	1
"WASHC5"	"0.120985599160801"	3.24556855828985	"DROSHA"	"chr8"	125074727.25	8
"FAM151B"	"-0.120983553989669"	3.24547422748204	"DROSHA"	"chr5"	80505871.75	5
"FNIP2"	"0.120923316944738"	3.24269652139746	"DROSHA"	"chr4"	158821307	4
"H2AFZ"	"0.120908854948201"	3.24202982301533	"DROSHA"	"chr4"	99949487.75	4
"MRPL28"	"-0.120908533714416"	3.24201501495013	"DROSHA"	"chr16"	369811.25	16
"NRP2"	"-0.120863595891449"	3.23994384607613	"DROSHA"	"chr2"	205692854.333333	2
"ALDH8A1"	"-0.120740289876015"	3.23426429533368	"DROSHA"	"chr6"	134944704.75	6
"GUCA2B"	"-0.120734304421172"	3.23398873519177	"DROSHA"	"chr1"	42154082.5	1
"USB1"	"-0.12059242217109"	3.22746033910901	"DROSHA"	"chr16"	58002046	16
"PNPT1"	"-0.120510570829402"	3.22369729202462	"DROSHA"	"chr2"	55687020	2
"TECR"	"-0.120163605676224"	3.20777152772892	"DROSHA"	"chr19"	14555081.5	19
"PRKACA"	"-0.119956751568391"	3.19829664429678	"DROSHA"	"chr19"	14100611	19
"SLC25A38"	"-0.119792206638661"	3.19077025488544	"DROSHA"	"chr3"	39387164.5	3
"MEIS3"	"-0.119718871245687"	3.18741885453625	"DROSHA"	"chr19"	47417471.75	19
"COL1A1"	"-0.119581168608654"	3.18113090318787	"DROSHA"	"chr17"	50195578.25	17
"UBAP1"	"0.119508624785974"	3.17782094389709	"DROSHA"	"chr9"	34239635.75	9
"USH1G"	"-0.119387041547273"	3.17227752803446	"DROSHA"	"chr17"	74921735.25	17
"MRPS6"	"-0.119379814602918"	3.17194818609115	"DROSHA"	"chr21"	34099556	21
"FREM1"	"0.119320624789325"	3.16925150081681	"DROSHA"	"chr9"	14773148	9
"EDRF1"	"0.119269723750476"	3.16693341695868	"DROSHA"	"chr10"	125723164.25	10
"C8A"	"-0.11914575788824"	3.16129162186428	"DROSHA"	"chr1"	56877203.75	1
"ZW10"	"0.119141353218769"	3.16109125886593	"DROSHA"	"chr11"	113762167.5	11
"TPRKB"	"-0.119052723249882"	3.15706101037616	"DROSHA"	"chr2"	73734509.25	2
"MRPS21"	"-0.118949050897976"	3.15235017586634	"DROSHA"	"chr1"	150301244	1
"MYO1H"	"-0.118776234937077"	3.14450570575645	"DROSHA"	"chr12"	109405009.25	12
"RBM42"	"0.118689974047376"	3.14059399381819	"DROSHA"	"chr19"	35630892.5	19
"OAS3"	"0.118674050185899"	3.13987216721983	"DROSHA"	"chr12"	112940716.333333	12
"LIPM"	"-0.118646528403886"	3.13862481412286	"DROSHA"	"chr10"	88811129.75	10
"SPRY2"	"0.118620467532454"	3.13744391327427	"DROSHA"	"chr13"	80337432.5	13
"ZNF80"	"-0.118601962350277"	3.13660552660292	"DROSHA"	"chr3"	114236772.75	3
"PROK2"	"-0.118587774110266"	3.1359628009993	"DROSHA"	"chr3"	71784977.25	3
"ITLN2"	"-0.118563748484554"	3.13487460094563	"DROSHA"	"chr1"	160952736	1
"CCNH"	"0.119359211525055"	3.13077114202621	"DROSHA"	"chr5"	87410410.5	5
"BNIPL"	"-0.118400681195625"	3.12749399271484	"DROSHA"	"chr1"	151043161	1
"TMEM258"	"0.118398894387417"	3.12741317044399	"DROSHA"	"chr11"	61790374.5	11
"PSMD9"	"-0.119242786740529"	3.1255428456764	"DROSHA"	"chr12"	121888870.5	12
"CFHR5"	"-0.118253977747247"	3.12086184707445	"DROSHA"	"chr1"	196985408	1
"GOLT1A"	"-0.118251461614656"	3.12074816273302	"DROSHA"	"chr1"	204205098	1
"AMPD2"	"-0.118247655918368"	3.12057621723723	"DROSHA"	"chr1"	109626931	1
"PHGDH"	"-0.119090542618029"	3.11871294265991	"DROSHA"	"chr1"	119725357	1
"H2AFV"	"0.118160314856196"	3.11663142204583	"DROSHA"	"chr7"	44843316	7
"CUL1"	"0.118049485475458"	3.1116295436447	"DROSHA"	"chr7"	148760022	7
"THOC2"	"0.119456151952496"	3.11160188219687	"DROSHA"	"chrX"	123680264.5	24
"MRPL11"	"-0.117934203928838"	3.10643121428293	"DROSHA"	"chr11"	66438255.75	11
"SREBF1"	"-0.117932982018623"	3.10637613980735	"DROSHA"	"chr17"	17819358	17
"FRMPD1"	"0.117932028854909"	3.10633317874881	"DROSHA"	"chr9"	37728533.25	9
"ENDOV"	"0.11788166880641"	3.10406379144944	"DROSHA"	"chr17"	80419317.25	17
"CAPZA1"	"-0.117842440979982"	3.10229666224782	"DROSHA"	"chr1"	112647798.25	1
"FGA"	"-0.117752991110427"	3.09826911616786	"DROSHA"	"chr4"	154587658.333333	4
"ROBO2"	"-0.117594213060383"	3.09112679038812	"DROSHA"	"chr3"	77407658	3
"HIST1H2AJ"	"-0.117543574396685"	3.08885072927581	"DROSHA"	"chr6"	27814628.75	6
"QRSL1"	"-0.11750453802997"	3.08709675913184	"DROSHA"	"chr6"	106649171.5	6
"LDAH"	"-0.117496130671116"	3.08671907076234	"DROSHA"	"chr2"	20748822	2
"RAPGEF6"	"0.117478966127223"	3.08594805398752	"DROSHA"	"chr5"	131595914.5	5
"CD19"	"0.117442737777029"	3.08432103943724	"DROSHA"	"chr16"	28932826.5	16
"DENND2C"	"-0.117251753101245"	3.07575137396356	"DROSHA"	"chr1"	114619672.75	1
